[2026-05-09 00:03:51,047][__main__][INFO] - Found GPU with device_name NVIDIA A10. Will run RFdiffusion on NVIDIA A10
[2026-05-09 00:03:51,048][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/ubuntu/proteinclaw-tools/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-05-09 00:03:56,974][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-05-09 00:03:57,262][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2026-05-09 00:04:15,319][__main__][INFO] - Making design /tmp/rfdiff_smoke/test_0
[2026-05-09 00:04:15,328][rfdiffusion.inference.model_runners][INFO] - Using contig: ['100-100']
[2026-05-09 00:04:15,361][rfdiffusion.inference.model_runners][INFO] - Sequence init: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:21,860][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:22,839][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:23,755][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:24,688][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:25,609][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:26,525][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:27,447][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:28,461][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:29,470][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:30,428][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:31,365][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:32,341][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ----------------------------------------------------------------------------------------------------
[2026-05-09 00:04:33,275][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: ----------------------------------------------------------------------------------------------------
